"url","total_ratings","Funny","Beautiful","Ingenious","Courageous","Longwinded","Confusing","Informative","Fascinating","Unconvincing","Persuasive","Jaw-dropping","OK","Obnoxious","Inspiring"
"https://www.ted.com/talks/ken_robinson_says_schools_kill_creativity
",93850,0.209323388385722,0.0487266915290357,0.0647096430474161,0.0346616941928609,0.00412360149174214,0.00257858284496537,0.0782738412360149,0.112743740010655,0.00319659030367608,0.114054342035162,0.0472988811933937,0.0125093233883857,0.002226957911561,0.265572722429409
"https://www.ted.com/talks/al_gore_on_averting_climate_crisis
",2936,0.185286103542234,0.0197547683923706,0.0190735694822888,0.0473433242506812,0.0384877384196185,0.0211171662125341,0.150885558583106,0.0449591280653951,0.087874659400545,0.0912806539509537,0.0395095367847411,0.069141689373297,0.0446185286103542,0.14066757493188
"https://www.ted.com/talks/david_pogue_says_simplicity_sells
",2824,0.341359773371105,0.0212464589235127,0.0648016997167139,0.0159348441926346,0.0276203966005666,0.00956090651558074,0.139872521246459,0.0587818696883853,0.0368271954674221,0.0814447592067989,0.0191218130311615,0.051699716713881,0.0502832861189802,0.0814447592067989
"https://www.ted.com/talks/majora_carter_s_tale_of_urban_renewal
",3728,0.0158261802575107,0.0780579399141631,0.0281652360515021,0.203862660944206,0.0142167381974249,0.00858369098712446,0.101931330472103,0.0354077253218884,0.00965665236051502,0.123390557939914,0.0616952789699571,0.0228004291845494,0.00938841201716738,0.287017167381974
"https://www.ted.com/talks/hans_rosling_shows_the_best_stats_you_ve_ever_seen
",25620,0.0542544886807182,0.036768149882904,0.124980483996877,0.0124121779859485,0.00429352068696331,0.00281030444964871,0.212060889929742,0.179781420765027,0.00261514441842311,0.0992193598750976,0.145823575331772,0.00967993754879001,0.00238095238095238,0.112919594067135
"https://www.ted.com/talks/tony_robbins_asks_why_we_do_what_we_do
",15356,0.0717634800729357,0.0459755144568898,0.0258530867413389,0.0469523313362855,0.0185595207085178,0.0196014587132066,0.0675957280541808,0.0879135191456108,0.024550664235478,0.157788486585048,0.0435660328210471,0.0287184162542329,0.0218155769731701,0.339346183902058
"https://www.ted.com/talks/julia_sweeney_on_letting_go_of_god
",5998,0.414138046015338,0.0461820606868956,0.053351117039013,0.0795265088362788,0.0321773924641547,0.0120040013337779,0.0376792264088029,0.0526842280760253,0.037512504168056,0.0518506168722908,0.0101700566855619,0.05135045015005,0.0483494498166055,0.073024341447149
"https://www.ted.com/talks/joshua_prince_ramus_on_seattle_s_library
",1024,0.0087890625,0.095703125,0.1904296875,0.033203125,0.025390625,0.0244140625,0.1181640625,0.1494140625,0.025390625,0.0361328125,0.0556640625,0.0615234375,0.0048828125,0.1708984375
"https://www.ted.com/talks/dan_dennett_s_response_to_rick_warren
",3946,0.015205271160669,0.0367460719716168,0.0534718702483528,0.142422706538267,0.0448555499239736,0.0177394830207805,0.157881398884947,0.0793208312214901,0.0717181956411556,0.193613786112519,0.015205271160669,0.0390268626457172,0.0210339584389255,0.111758743030917
"https://www.ted.com/talks/rick_warren_on_a_life_of_purpose
",8327,0.00312237300348265,0.0921100036027381,0.0139305872463072,0.0571634442176054,0.0367479284256035,0.0133301308994836,0.036507745886874,0.0551218926384052,0.100636483727633,0.185300828629759,0.0250990752972259,0.0294223609943557,0.0445538609343101,0.306953284496217
"https://www.ted.com/talks/cameron_sinclair_on_open_source_architecture
",1780,0.0101123595505618,0.0286516853932584,0.144943820224719,0.0949438202247191,0.0191011235955056,0.00786516853932584,0.105056179775281,0.0831460674157303,0.0117977528089888,0.0898876404494382,0.0370786516853933,0.0219101123595506,0.00393258426966292,0.341573033707865
"https://www.ted.com/talks/jehane_noujaim_inspires_a_global_day_of_film
",592,0.00844594594594595,0.118243243243243,0.0337837837837838,0.162162162162162,0.027027027027027,0.0118243243243243,0.0557432432432432,0.0692567567567568,0.0236486486486486,0.0709459459459459,0.0337837837837838,0.0439189189189189,0.00168918918918919,0.339527027027027
"https://www.ted.com/talks/larry_brilliant_wants_to_stop_pandemics
",886,0.00338600451467269,0.018058690744921,0.064334085778781,0.0970654627539503,0.0101580135440181,0.00225733634311512,0.212189616252822,0.0936794582392776,0.00564334085778781,0.125282167042889,0.0790067720090293,0.0124153498871332,0.00564334085778781,0.270880361173815
"https://www.ted.com/talks/jeff_han_demos_his_breakthrough_touchscreen
",8317,0.0125045088373211,0.0333052783455573,0.121918961163881,0.00408801250450884,0.00661296140435253,0.00228447757604906,0.0554286401346639,0.110496573283636,0.0038475411807142,0.00925814596609354,0.558254178189251,0.0226043044366959,0.00276542022363833,0.0566309967536371
"https://www.ted.com/talks/nicholas_negroponte_on_one_laptop_per_child
",781,0.0179257362355954,0.0409731113956466,0.113956466069142,0.106274007682458,0.0256081946222791,0.00768245838668374,0.133162612035851,0.0857874519846351,0.0396927016645326,0.0627400768245839,0.0371318822023047,0.0384122919334187,0.0140845070422535,0.276568501920615
"https://www.ted.com/talks/sirena_huang_dazzles_on_violin
",6239,0.0304535983330662,0.267831383234493,0.0304535983330662,0.0229203397980446,0.00464818079820484,0.00160282096489822,0.00352620612277609,0.101779131271037,0.00240423144734733,0.00657156595608271,0.365443179996794,0.0152267991665331,0.00625100176310306,0.140887962814554
"https://www.ted.com/talks/jennifer_lin_improvs_piano_magic
",4679,0.00512930113272067,0.236589014746741,0.0421030134644155,0.0181662748450524,0.00748023081855097,0.00470185937166061,0.00683906817696089,0.0970292797606326,0.0113272066680915,0.00470185937166061,0.426800598418465,0.0145330198760419,0.00662534729643086,0.117973926052575
